dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,19,mcuve,1.506,0.63,0.579,0.576,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|94,3
indian_pines,18,mcuve,1.505,0.599,0.549,0.536,62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80|91|94,3
indian_pines,17,mcuve,1.505,0.545,0.455,0.471,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80,3
indian_pines,16,mcuve,1.499,0.538,0.433,0.461,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79,3
indian_pines,15,mcuve,1.456,0.598,0.537,0.533,62|66|67|68|69|70|71|72|73|77|78|79|80|91|94,3
indian_pines,14,mcuve,1.48,0.56,0.491,0.483,62|63|64|65|66|67|68|69|70|71|72|73|78|79,3
indian_pines,13,mcuve,1.477,0.554,0.472,0.473,62|63|64|65|66|67|68|69|70|71|72|73|78,3
indian_pines,12,mcuve,1.564,0.56,0.496,0.48,62|63|64|65|66|67|68|69|70|71|72|78,3
indian_pines,11,mcuve,1.453,0.552,0.432,0.47,62|65|66|67|68|69|70|71|72|73|78,3
indian_pines,10,mcuve,1.476,0.559,0.408,0.479,62|67|68|69|70|71|72|73|78|79,3
indian_pines,9,mcuve,1.443,0.554,0.4,0.47,65|67|68|69|70|71|72|78|79,3
indian_pines,8,mcuve,1.448,0.524,0.402,0.431,62|64|65|66|67|68|69|70,3
indian_pines,7,mcuve,1.459,0.493,0.331,0.396,66|67|68|69|70|71|72,3
indian_pines,6,mcuve,1.508,0.473,0.311,0.366,68|69|70|71|73|77,3
indian_pines,5,mcuve,1.448,0.433,0.245,0.315,68|69|70|71|72,3
indian_pines,30,mcuve,1.482,0.726,0.766,0.688,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|98|99|147|148|149|151|152|153|155,4
indian_pines,29,mcuve,1.474,0.718,0.731,0.681,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|147|148|149|151|152|153,4
indian_pines,28,mcuve,1.483,0.709,0.745,0.67,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|98|147|148|149|151|152|153,4
indian_pines,27,mcuve,1.454,0.715,0.764,0.676,35|62|64|65|66|67|68|69|70|71|72|73|77|78|79|80|81|91|94|97|98|99|100|148|149|152|171,4
indian_pines,26,mcuve,1.461,0.71,0.767,0.67,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|99|148|152,4
indian_pines,25,mcuve,1.47,0.734,0.753,0.698,35|62|67|68|69|70|71|72|73|77|78|79|80|81|91|94|97|98|99|100|148|149|152|153|155,4
indian_pines,24,mcuve,1.477,0.721,0.752,0.682,35|62|64|65|67|68|69|70|71|72|73|77|78|79|80|81|91|94|97|98|99|100|149|152,4
indian_pines,23,mcuve,1.469,0.727,0.75,0.69,35|62|65|67|68|69|70|71|72|77|78|79|80|91|94|97|98|99|147|148|149|152|153,4
indian_pines,22,mcuve,1.47,0.705,0.749,0.664,35|62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80|81|91|94|148|152,4
indian_pines,21,mcuve,1.467,0.666,0.673,0.62,35|62|64|65|67|68|69|70|71|72|73|77|78|79|80|81|91|94|97|98|99,4
indian_pines,20,mcuve,1.457,0.674,0.729,0.627,62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80|91|94|97|148,4
indian_pines,19,mcuve,1.47,0.661,0.659,0.612,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91,4
indian_pines,18,mcuve,1.449,0.598,0.563,0.536,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91,4
indian_pines,17,mcuve,1.469,0.675,0.657,0.627,35|62|64|65|67|68|69|70|71|72|73|77|78|79|80|91|94,4
indian_pines,16,mcuve,1.457,0.678,0.662,0.631,35|62|65|68|69|70|71|72|73|77|78|79|80|91|94|97,4
indian_pines,15,mcuve,1.467,0.578,0.544,0.509,62|64|65|66|67|68|69|70|71|72|73|77|78|79|80,4
indian_pines,14,mcuve,1.476,0.599,0.572,0.535,62|64|65|67|68|69|70|71|73|77|78|79|80|91,4
indian_pines,13,mcuve,1.479,0.562,0.501,0.486,62|63|64|65|66|67|68|69|70|71|72|77|78,4
indian_pines,12,mcuve,1.475,0.564,0.517,0.49,65|67|68|69|70|71|72|73|77|78|79|80,4
indian_pines,11,mcuve,1.485,0.559,0.506,0.482,62|65|67|68|69|70|71|72|77|78|79,4
indian_pines,10,mcuve,1.474,0.587,0.519,0.519,62|65|67|68|70|77|78|79|80|91,4
indian_pines,9,mcuve,1.6,0.538,0.449,0.453,62|65|67|68|69|70|71|77|78,4
indian_pines,8,mcuve,1.46,0.554,0.44,0.473,62|65|68|69|70|77|78|79,4
indian_pines,7,mcuve,1.461,0.574,0.483,0.501,70|72|77|78|79|80|91,4
indian_pines,6,mcuve,1.458,0.592,0.508,0.524,35|77|78|79|80|94,4
indian_pines,5,mcuve,1.474,0.539,0.426,0.451,73|77|78|79|80,4
indian_pines,30,mcuve,1.463,0.744,0.697,0.708,35|62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80|91|94|97|98|99|100|101|148|149|152|153|154|155,5
indian_pines,29,mcuve,1.515,0.747,0.728,0.711,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|147|148|149|152|153|170,5
indian_pines,28,mcuve,1.461,0.724,0.709,0.685,35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|98|99|148|149|152,5
indian_pines,27,mcuve,1.683,0.736,0.701,0.699,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|148|149|151|152|153,5
indian_pines,26,mcuve,1.563,0.732,0.728,0.695,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|147|148|149|152|153|170,5
indian_pines,25,mcuve,1.472,0.735,0.734,0.698,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|148|149|152,5
indian_pines,24,mcuve,1.506,0.718,0.709,0.678,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|149|152|170,5
indian_pines,23,mcuve,1.475,0.72,0.709,0.68,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|149|152,5
indian_pines,22,mcuve,1.525,0.705,0.695,0.662,35|56|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|152,5
indian_pines,21,mcuve,1.609,0.678,0.67,0.63,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94,5
indian_pines,20,mcuve,1.588,0.672,0.658,0.625,35|62|63|64|65|66|67|68|69|70|71|73|76|77|78|79|80|81|91|94,5
indian_pines,19,mcuve,1.634,0.607,0.535,0.547,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94,5
indian_pines,18,mcuve,1.48,0.609,0.573,0.549,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|94,5
indian_pines,17,mcuve,1.463,0.562,0.514,0.494,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80,5
indian_pines,16,mcuve,1.471,0.569,0.528,0.501,62|63|64|65|66|67|68|69|70|71|73|76|77|78|79|80,5
indian_pines,15,mcuve,1.482,0.553,0.502,0.482,62|63|64|65|66|67|68|69|70|71|73|76|77|78|79,5
indian_pines,14,mcuve,1.467,0.577,0.528,0.509,62|63|65|66|67|68|69|70|71|73|77|78|79|80,5
indian_pines,13,mcuve,1.534,0.535,0.481,0.455,62|63|64|65|66|67|68|69|70|71|73|76|77,5
indian_pines,12,mcuve,1.472,0.556,0.459,0.482,64|65|66|67|68|69|70|71|72|77|78|79,5
indian_pines,11,mcuve,1.535,0.547,0.432,0.47,62|65|66|67|68|69|70|71|73|77|78,5
indian_pines,10,mcuve,1.464,0.551,0.457,0.47,62|63|64|65|66|67|68|69|77|78,5
indian_pines,9,mcuve,1.456,0.531,0.408,0.446,65|66|67|68|69|70|71|77|78,5
indian_pines,8,mcuve,1.46,0.514,0.413,0.426,65|66|67|68|69|70|77|78,5
indian_pines,7,mcuve,1.455,0.531,0.394,0.445,65|67|68|69|70|77|78,5
indian_pines,6,mcuve,1.474,0.526,0.37,0.436,65|67|68|69|70|77,5
indian_pines,5,mcuve,1.461,0.508,0.343,0.41,65|66|67|68|71,5
